date,Amount
30/09/2009,5980
30/09/2010,6160
30/09/2011,6330
30/09/2012,7900
30/09/2013,9210
30/09/2014,10440
30/09/2015,11040
30/09/2016,11910
30/09/2017,12960
30/09/2018,13850
30/09/2019,14550
30/09/2020,15030
30/09/2021,14540
